"iteration","scenario","ratio","method","beta","se","p_value","n_matched_cases","n_discordant","matched_mac","ratio_label"
9,"Negative control",6,"PC-adjusted GWAS",0.251425877441029,0.112304279981974,0.0251694798044776,,,,"1:6"
9,"Negative control",6,"Matching + CLR",0.0558305406959089,0.15481753794755,0.718347758347887,2500,310,334,"1:6"
9,"Positive control",1,"Oracle GWAS",0.412531640607471,0.125594211548953,0.00102113129048758,,,,"1:1"
9,"Positive control",1,"Standard GWAS",0.647699751138918,0.124761541990375,2.08604738289477e-07,,,,"1:1"
9,"Positive control",1,"PC-adjusted GWAS",0.441012336867611,0.125619987011248,0.000446951907640775,,,,"1:1"
9,"Positive control",1,"Matching + CLR",0.784118958765672,0.263359408515873,0.00225634424063869,2500,67,71,"1:1"
9,"Positive control",4,"Oracle GWAS",0.412531640607471,0.125594211548953,0.00102113129048758,,,,"1:4"
9,"Positive control",4,"Standard GWAS",0.647699751138918,0.124761541990375,2.08604738289477e-07,,,,"1:4"
9,"Positive control",4,"PC-adjusted GWAS",0.441012336867611,0.125619987011248,0.000446951907640775,,,,"1:4"
9,"Positive control",4,"Matching + CLR",0.417604440273282,0.170527198910329,0.0136111056610377,2500,167,175,"1:4"
9,"Positive control",6,"Oracle GWAS",0.412531640607471,0.125594211548953,0.00102113129048758,,,,"1:6"
9,"Positive control",6,"Standard GWAS",0.647699751138918,0.124761541990375,2.08604738289477e-07,,,,"1:6"
9,"Positive control",6,"PC-adjusted GWAS",0.441012336867611,0.125619987011248,0.000446951907640775,,,,"1:6"
9,"Positive control",6,"Matching + CLR",0.379943300870915,0.161096379477805,0.0176220909623244,2500,231,245,"1:6"
10,"Negative control",1,"Oracle GWAS",0.0880641511821674,0.115618280789725,0.446250916412482,,,,"1:1"
10,"Negative control",1,"Standard GWAS",0.743476291525546,0.113888728547749,6.66120223033853e-11,,,,"1:1"
10,"Negative control",1,"PC-adjusted GWAS",0.200576202766418,0.117699571734378,0.0883554834204035,,,,"1:1"
10,"Negative control",1,"Matching + CLR",0.23288467542376,0.206932145453323,0.259076660702355,2500,89,95,"1:1"
10,"Negative control",4,"Oracle GWAS",0.0880641511821674,0.115618280789725,0.446250916412482,,,,"1:4"
10,"Negative control",4,"Standard GWAS",0.743476291525546,0.113888728547749,6.66120223033853e-11,,,,"1:4"
10,"Negative control",4,"PC-adjusted GWAS",0.200576202766418,0.117699571734378,0.0883554834204035,,,,"1:4"
10,"Negative control",4,"Matching + CLR",0.117411068312554,0.153717236798241,0.444679127769961,2500,228,241,"1:4"
10,"Negative control",6,"Oracle GWAS",0.0880641511821674,0.115618280789725,0.446250916412482,,,,"1:6"
10,"Negative control",6,"Standard GWAS",0.743476291525546,0.113888728547749,6.66120223033853e-11,,,,"1:6"
10,"Negative control",6,"PC-adjusted GWAS",0.200576202766418,0.117699571734378,0.0883554834204035,,,,"1:6"
10,"Negative control",6,"Matching + CLR",0.16228058077251,0.149624984015691,0.277535268933134,2500,299,323,"1:6"
10,"Positive control",1,"Oracle GWAS",0.381084626891769,0.132174399546646,0.00393663106304762,,,,"1:1"
10,"Positive control",1,"Standard GWAS",0.615948462619799,0.131363704594877,2.74706297601591e-06,,,,"1:1"
10,"Positive control",1,"PC-adjusted GWAS",0.420174465440882,0.13217344508051,0.0014780305718601,,,,"1:1"
10,"Positive control",1,"Matching + CLR",0.21772348384487,0.220830608072816,0.323212234622308,2500,83,85,"1:1"
10,"Positive control",4,"Oracle GWAS",0.381084626891769,0.132174399546646,0.00393663106304762,,,,"1:4"
